question,intent
ليه المرتب قل,salary_explanation
ليه المرتب أقل,salary_explanation
النت ناقص ليه,salary_explanation
المرتب قليل,salary_explanation
حاسس القبض أقل,salary_explanation
ليه المرتب زاد,salary_explanation
اشرح المرتب,salary_explanation
اشرح الفيش,salary_explanation
ليه الصافي زاد,salary_explanation
الصافي زاد ليه,salary_explanation
سبب زيادة الصافي,salary_explanation
ليه النت زاد,salary_explanation
الراتب زاد ليه,salary_explanation
اشرح زيادة المرتب,salary_explanation

اعرض الخصومات,deductions
كم الخصومات,deductions
الخصومات كام,deductions

اعرض الضريبة,tax
كم الضريبة,tax
الضريبة زادت ليه,tax
ليه الضريبة زادت,tax
سبب زيادة الضريبة,tax
اشرح الضريبة,tax
الضريبة كام,tax
اعرض الضريبة,tax
ليه الضرائب زادت,tax
الضريبة عالية ليه,tax
ليه الضرليب زادت,tax
الضريبه زادت ليه,tax
الضريبه كام,tax

اعرض البونص,bonus
كم البونص,bonus
هل فيه بونص,bonus
البونص كام,bonus
البونص زاد ليه,bonus

اعرض الأوفر تايم,overtime
كم الأوفر تايم,overtime
الأوفر تايم كام,overtime
الأوفر تايم زاد ليه,overtime
اشرح الأوفر تايم,overtime

قارن بين الشهرين,compare
اعمل مقارنة,compare
قارن أبريل ومايو,compare
اعرض الفرق,compare

ليه,followup
طب ليه,followup
يعني,followup
طيب,followup
بس,followup
مع إن,followup
مع ان,followup
إزاي,followup
ازاي,followup
ليه كده,followup
طب,followup
بعد كده؟,followup
وبعدين؟,followup